# 省份代码,省份名称,最小经度,最小纬度,最大经度,最大纬度
CN-BJ,北京市,116.1,39.7,116.6,40.2
CN-SH,上海市,121.2,30.9,121.8,31.4
CN-TJ,天津市,116.7,38.6,118.1,40.3
CN-CQ,重庆市,105.2,28.2,110.2,32.2
CN-GD,广东省,109.6,20.2,117.3,25.5
CN-JS,江苏省,116.3,30.7,122.0,35.1
CN-ZJ,浙江省,118.0,27.1,123.0,31.2
CN-SD,山东省,114.8,34.4,122.7,38.5
CN-HA,河南省,110.4,31.4,116.7,36.4
CN-HE,河北省,113.5,36.0,119.9,42.7
CN-SC,四川省,97.3,26.0,108.5,34.3
CN-HB,湖北省,108.4,29.0,116.1,33.3
CN-HN,湖南省,108.8,24.6,114.3,30.1
CN-SN,陕西省,105.5,31.7,111.2,39.6
CN-SX,山西省,110.2,34.6,114.6,40.7
CN-LN,辽宁省,118.8,38.7,125.8,43.5
CN-JL,吉林省,121.6,40.9,131.3,46.3
CN-HL,黑龙江省,121.2,43.4,135.1,53.6
CN-AH,安徽省,114.9,29.4,119.7,34.6
CN-FJ,福建省,115.9,23.5,120.7,28.4
CN-JX,江西省,113.6,24.5,118.6,30.1
CN-YN,云南省,97.5,21.1,106.2,29.2
CN-GZ,贵州省,103.6,24.6,109.6,29.3
CN-GS,甘肃省,92.8,32.6,108.7,42.8
CN-QH,青海省,89.4,31.7,103.0,39.3
CN-TW,台湾省,119.3,21.9,124.6,25.3
CN-HI,海南省,108.6,18.2,111.3,20.1
